NAME,REFERENCE,ASSETTYPE,ASSETLOCATION,CNTR_X,CNTR_Y
Bacup road culvert no 4,0536/2,Complex Culvert,Clough Foot,390311.965,423784.967
Carr road culvert,Carr road,Complex Culvert,Todmorden,390313.02,425890.063
Toodmorden moor drain,0022/12,Complex Culvert,Clough Foot - Midgeleden Farm,390323.006,423919.015
Todmorden moor culvert,0009/3,Complex Culvert,Clough Foot,390434.023,424267.037
Bacup road culvert no 5,0022/8,Complex Culvert,Clough Foot,390438.01,423834.996
Midgleden farm bridge,80565,Bridge Abutment,Clough Foot,390470.998,424082.933
Carr road culvert no 2,0040/1,Complex Culvert,Todmorden,390481.018,425739.064
Coal clough bridge,0150/1,Bridge Abutment,Todmorden - Coal Clough Road,390537.025,426962.053
Carr road culvert no3,0819/5,Complex Culvert,Todmorden - Cornholme,390591.572,425628.577
Carr road culvert no4,0286/12,Complex Culvert,Todmorden - Cornholme,390629.007,425574.983
Clough foot bridge,0534/25,Bridge Abutment,Clough Foot,390651.006,423767.027
Middleglen farm culvert,0009/20,Complex Culvert,Clough Foot,390726.02,424010.986
Pudsey clough bridge,0644/6,Bridge Abutment,Todmorden - Forest of Burnley,390743.003,427149.001
Clough foot bridge no 2,0534/10,Bridge Abutment,Clough Foot,390746.968,423760.938
Pudsey road sluice,0662/1,Control Gates,Todmorden,390800.983,426684.035
Pudsey road screen,0662/7,Screen,Todmorden,390801.033,426543.067
Pudsey road sluice return,0662/1,Control Gates,Todmorden,390825.032,426602.989
Clough foot Footbridge no 3,0534/20,Bridge Abutment,Clough Foot,390838.956,423781.005
Tipperden farm bridge no 2,0628/6,Bridge Abutment,Shore,390845.958,427817.026
Woodbine terrace culvert,0662/13,Complex Culvert,Todmorden,390860.975,426396.973
Walton street culvert,80580,Complex Culvert,Todmorden,390886.018,426114.987
Pudsey road culvert,,Complex Culvert,Todmorden,390898.974,426666.039
Tipperden farm bridge,0628/8,Bridge Abutment,Shore,390934.99,427918.989
Clough foot culvert,0397/1,Complex Culvert,Clough Foot,391077.992,423691.975
Burnley road culvert,0260/1,Complex Culvert,Todmorden - Cornholme,391174.981,426147.027
Raw hey farm culvert,80585,Complex Culvert,Shore,391175.969,426910.055
Valley peak culvert no 2,0031/21,Complex Culvert,Todmorden,391192.981,425519.024
Culvert valley peak,0031/28,Complex Culvert,Todmorden,391202.996,425580.979
Gorpley clough Footbridge no4,0312/41,Bridge Abutment,Clough Foot,391204.994,422999.049
Mount lane farm culvert,80589,Complex Culvert,Shore,391219.002,427377.047
Commons farm culvert,0380/23,Complex Culvert,Shore,391236.978,427185.978
Shaw lane culvert no 4,0380/25,Complex Culvert,Shore,391239.961,427089.064
Gorpley clough park culvert,0313/3,Complex Culvert,Clough Foot,391253.977,423138.026
Commons farm culvert 2,0380/22,Complex Culvert,Shore - Gall Lane,391255.02,427204.969
Bank top farm culvert 3,0380/16,Complex Culvert,Shore,391266.956,427521.039
Burnley road track culvert,0886/7,Complex Culvert,Todmorden,391267.029,426225.069
Shaw lane culvert no 4,0380/27,Complex Culvert,Shore,391281.023,427001.979
Bank top farm culvert 2,0380/13,Complex Culvert,Shore,391302.953,427619.993
Shaw lane culvert no 2,80599,Complex Culvert,Shore,391311.964,426899.004
Bank top farm culvert,0380/11,Complex Culvert,Shore -  Mount Lane,391312.013,427669.042
Parrock farm bridge,80601,Bridge Abutment,Todmorden,391311.973,426480.996
Shawlane culvert,0380/5,Complex Culvert,Shore,391313.002,426889.99
Gorpley clough Footbridge no 3,0312/18,Bridge Abutment,Clough Foot,391369.311,423317.933
Sourhall road culvert,0355/3,Complex Culvert,Brighouse - Hazel Greave Farm,391319.967,423930.954
Pipe in Stream Burnley road,0667/9,Complex Culvert,Todmorden,391326.985,426076.979
Shore fold farm culvert,0380/4,Complex Culvert,Shore,391340.07212471,426749.41789022
Ingfield terrace bridge,80607,Bridge Abutment,Todmorden,391372.986,426157.001
Screen/Grille friedhurst road,80608,Screen,Todmorden,391390.969,426213.043
Bearnshaw tower culvert no 3,Heald top farm,Complex Culvert,Todmorden - Heald Top Farm,388787.038,425434.981
